date,time,exchange,name,ltp,last_trade_qty,total_trade_amount,total_trade_qty
0,09:15:00.000000000,NSECM,AUBANK,548.4,1,179875.2,328
0,09:15:00.000000000,NSEFO,AUBANK25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,AUBANK25MARFUT,549.95,1000,1099900,2000
0,09:15:00.000000000,NSECM,AXISBANK,1003,14,14005892,13964
0,09:15:00.000000000,NSEFO,AXISBANK25APRFUT,1011,625,631875,625
0,09:15:00.000000000,NSEFO,AXISBANK25MARFUT,1010.45,625,6274687.5,6250
0,09:15:00.000000000,NSECM,BANKBARODA,195.9,50,2392134.9,12211
0,09:15:00.000000000,NSEFO,BANKBARODA25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,BANKBARODA25MARFUT,196.42,2925,574528.5,2925
0,09:15:00.000000000,NSECM,BANKNIFTY,48235.75,0,0,0
0,09:15:00.000000000,NSEFO,BANKNIFTY25APRFUT,48789.9,30,1463697,30
0,09:15:00.000000000,NSEFO,BANKNIFTY25MARFUT,48433.15,30,30558276,630
0,09:15:00.000000000,NSECM,CANBK,82.35,10,4146734.25,50355
0,09:15:00.000000000,NSEFO,CANBK25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,CANBK25MARFUT,82.36,6750,555930,6750
0,09:15:00.000000000,NSECM,FEDERALBNK,176.9,2,1212649.5,6855
0,09:15:00.000000000,NSEFO,FEDERALBNK25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,FEDERALBNK25MARFUT,176.8,10000,1768000,10000
0,09:15:00.000000000,NSECM,HDFCBANK,1701.95,1,587790557.9,345363
0,09:15:00.000000000,NSEFO,HDFCBANK25APRFUT,1716.6,550,3776476,2200
0,09:15:00.000000000,NSEFO,HDFCBANK25MARFUT,1707.1,550,36588337.5,21450
0,09:15:00.000000000,NSECM,ICICIBANK,1217,70,178780951,146903
0,09:15:00.000000000,NSEFO,ICICIBANK25APRFUT,1226.55,700,858585,700
0,09:15:00.000000000,NSEFO,ICICIBANK25MARFUT,1216.9,700,13623792,11200
0,09:15:00.000000000,NSECM,IDFCFIRSTB,56.61,40,6207852.6,109660
0,09:15:00.000000000,NSEFO,IDFCFIRSTB25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,IDFCFIRSTB25MARFUT,57.25,7500,2143500,37500
0,09:15:00.000000000,NSECM,INDUSINDBK,984.3,91,5176433.7,5259
0,09:15:00.000000000,NSEFO,INDUSINDBK25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,INDUSINDBK25MARFUT,991.8,500,495900,500
0,09:15:00.000000000,NSECM,KOTAKBANK,1903.1,50,13818409.1,7261
0,09:15:00.000000000,NSEFO,KOTAKBANK25APRFUT,1927,400,770800,400
0,09:15:00.000000000,NSEFO,KOTAKBANK25MARFUT,1915.15,400,766060,400
0,09:15:00.000000000,NSECM,PNB,87,20,11739954,134942
0,09:15:00.000000000,NSEFO,PNB25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,PNB25MARFUT,87.67,8000,701360,8000
0,09:15:00.000000000,NSECM,SBIN,717.55,1,27474271.95,38289
0,09:15:00.000000000,NSEFO,SBIN25APRFUT,722.9,750,542175,750
0,09:15:00.000000000,NSEFO,SBIN25MARFUT,nan,nan,nan,nan
0,09:16:00.000000000,NSECM,AUBANK,548.45,16,4969523.52,9048
0,09:16:00.000000000,NSEFO,AUBANK25APRFUT,550.45,1000,550450,1000
0,09:16:00.000000000,NSEFO,AUBANK25MARFUT,549.95,1000,19791000,36000
0,09:16:00.000000000,NSECM,AXISBANK,1006.1,230,149732238.6,148854
0,09:16:00.000000000,NSEFO,AXISBANK25APRFUT,1014.8,625,3797437.5,3750
0,09:16:00.000000000,NSEFO,AXISBANK25MARFUT,1008.75,625,170821462.5,169375
0,09:16:00.000000000,NSECM,BANKBARODA,196.8,3036,25163225.28,127784
0,09:16:00.000000000,NSEFO,BANKBARODA25APRFUT,198.76,2925,1163448,5850
0,09:16:00.000000000,NSEFO,BANKBARODA25MARFUT,197.75,2925,37589613.75,190125
0,09:16:00.000000000,NSECM,BANKNIFTY,48368.15,0,0,0
0,09:16:00.000000000,NSEFO,BANKNIFTY25APRFUT,48873.3,30,45460148.4,930
0,09:16:00.000000000,NSEFO,BANKNIFTY25MARFUT,48538.55,60,1051764547,21660
0,09:16:00.000000000,NSECM,CANBK,82.65,1,31028278.88,375736
0,09:16:00.000000000,NSEFO,CANBK25APRFUT,83.56,6750,1691887.5,20250
0,09:16:00.000000000,NSEFO,CANBK25MARFUT,83.05,6750,34183485,411750
0,09:16:00.000000000,NSECM,FEDERALBNK,177.01,2,5556641.06,31397
0,09:16:00.000000000,NSEFO,FEDERALBNK25APRFUT,177.85,5000,3557000,20000
0,09:16:00.000000000,NSEFO,FEDERALBNK25MARFUT,177.09,5000,26590500,150000
0,09:16:00.000000000,NSECM,HDFCBANK,1703,3,864199277.8,507612
0,09:16:00.000000000,NSEFO,HDFCBANK25APRFUT,1719.55,550,14183070,8250
0,09:16:00.000000000,NSEFO,HDFCBANK25MARFUT,1708.2,550,529362157.5,309650
0,09:16:00.000000000,NSECM,ICICIBANK,1220,5,777842597.9,637853
0,09:16:00.000000000,NSEFO,ICICIBANK25APRFUT,1232.65,700,6900208,5600
0,09:16:00.000000000,NSEFO,ICICIBANK25MARFUT,1224.55,700,557088350,455000
0,09:16:00.000000000,NSECM,IDFCFIRSTB,57.1,5000,24026608.21,422483
0,09:16:00.000000000,NSEFO,IDFCFIRSTB25APRFUT,57.39,7500,3873150,67500
0,09:16:00.000000000,NSEFO,IDFCFIRSTB25MARFUT,57.43,7500,28323900,495000
0,09:16:00.000000000,NSECM,INDUSINDBK,991,70,64621095.21,65181
0,09:16:00.000000000,NSEFO,INDUSINDBK25APRFUT,999.55,500,3493105,3500
0,09:16:00.000000000,NSEFO,INDUSINDBK25MARFUT,993,500,77498460,78000
0,09:16:00.000000000,NSECM,KOTAKBANK,1904.9,48,156894047.5,82382
0,09:16:00.000000000,NSEFO,KOTAKBANK25APRFUT,1918.9,400,767560,400
0,09:16:00.000000000,NSEFO,KOTAKBANK25MARFUT,1908.7,400,77922288,40800
0,09:16:00.000000000,NSECM,PNB,87.7,500,58804272,669600
0,09:16:00.000000000,NSEFO,PNB25APRFUT,88.2,8000,2116800,24000
0,09:16:00.000000000,NSEFO,PNB25MARFUT,88.5,8000,101721600,1152000
0,09:16:00.000000000,NSECM,SBIN,721,1,167163534.2,232033
0,09:16:00.000000000,NSEFO,SBIN25APRFUT,725.65,750,9811395,13500
0,09:16:00.000000000,NSEFO,SBIN25MARFUT,722.35,750,320029275,442500
0,09:17:00.000000000,NSECM,AUBANK,549.4,177,12287956.8,22358
0,09:17:00.000000000,NSEFO,AUBANK25APRFUT,549.3,1000,1649100,3000
0,09:17:00.000000000,NSEFO,AUBANK25MARFUT,550.6,1000,32993400,60000
0,09:17:00.000000000,NSECM,AXISBANK,1006,82,165609091.8,164623
0,09:17:00.000000000,NSEFO,AXISBANK25APRFUT,1015.7,625,5067050,5000
0,09:17:00.000000000,NSEFO,AXISBANK25MARFUT,1008.6,625,201730000,200000
0,09:17:00.000000000,NSECM,BANKBARODA,197.59,150,35495151.53,180151
0,09:17:00.000000000,NSEFO,BANKBARODA25APRFUT,199.29,2925,1746400.5,8775
0,09:17:00.000000000,NSEFO,BANKBARODA25MARFUT,198.57,2925,83942820,424125
0,09:17:00.000000000,NSECM,BANKNIFTY,48371,0,0,0
0,09:17:00.000000000,NSEFO,BANKNIFTY25APRFUT,48848.05,30,96744087,1980
0,09:17:00.000000000,NSEFO,BANKNIFTY25MARFUT,48548.85,30,1673771165,34470
0,09:17:00.000000000,NSECM,CANBK,82.84,1,47136197.16,570518
0,09:17:00.000000000,NSEFO,CANBK25APRFUT,83.56,6750,1691887.5,20250
0,09:17:00.000000000,NSEFO,CANBK25MARFUT,83.05,6750,63860805,769500
0,09:17:00.000000000,NSECM,FEDERALBNK,177.2,10,8566492.99,48401
0,09:17:00.000000000,NSEFO,FEDERALBNK25APRFUT,178.2,5000,6231400,35000
0,09:17:00.000000000,NSEFO,FEDERALBNK25MARFUT,177.5,5000,57619250,325000
0,09:17:00.000000000,NSECM,HDFCBANK,1700.85,1,918012398.4,539227
0,09:17:00.000000000,NSEFO,HDFCBANK25APRFUT,1715.95,550,26459356,15400
0,09:17:00.000000000,NSEFO,HDFCBANK25MARFUT,1706.1,1100,791266553,463100
0,09:17:00.000000000,NSECM,ICICIBANK,1221.85,126,885560687.8,726042
0,09:17:00.000000000,NSEFO,ICICIBANK25APRFUT,1234,700,12942090,10500
0,09:17:00.000000000,NSEFO,ICICIBANK25MARFUT,1225.3,700,783595050,639800
0,09:17:00.000000000,NSECM,IDFCFIRSTB,57.2,1,41911756.77,735423
0,09:17:00.000000000,NSEFO,IDFCFIRSTB25APRFUT,57.39,7500,3873150,67500
0,09:17:00.000000000,NSEFO,IDFCFIRSTB25MARFUT,57.5,7500,53298300,930000
0,09:17:00.000000000,NSECM,INDUSINDBK,991.5,10,91666035.68,92464
0,09:17:00.000000000,NSEFO,INDUSINDBK25APRFUT,998,500,5991960,6000
0,09:17:00.000000000,NSEFO,INDUSINDBK25MARFUT,993.6,500,105314180,106000
0,09:17:00.000000000,NSECM,KOTAKBANK,1899.05,4,193672295,101732
0,09:17:00.000000000,NSEFO,KOTAKBANK25APRFUT,1917,400,12279488,6400
0,09:17:00.000000000,NSEFO,KOTAKBANK25MARFUT,1904.4,400,162553932,85200
0,09:17:00.000000000,NSECM,PNB,88.01,350,66505666.47,757209
0,09:17:00.000000000,NSEFO,PNB25APRFUT,88.7,8000,1419360,16000
0,09:17:00.000000000,NSEFO,PNB25MARFUT,88.19,8000,125710720,1424000
0,09:17:00.000000000,NSECM,SBIN,721.85,5,238385845.3,330802
0,09:17:00.000000000,NSEFO,SBIN25APRFUT,727.5,750,29981737.5,41250
0,09:17:00.000000000,NSEFO,SBIN25MARFUT,723.65,750,482133592.5,666750
0,09:18:00.000000000,NSECM,AUBANK,549.95,44,16109837.65,29305
0,09:18:00.000000000,NSEFO,AUBANK25APRFUT,549.3,1000,1649100,3000
0,09:18:00.000000000,NSEFO,AUBANK25MARFUT,550.6,1000,55604540,101000
0,09:18:00.000000000,NSECM,AXISBANK,1005.05,15,180009722.8,178945
0,09:18:00.000000000,NSEFO,AXISBANK25APRFUT,1015.7,625,5067050,5000
0,09:18:00.000000000,NSEFO,AXISBANK25MARFUT,1007.45,625,231964200,230000
0,09:18:00.000000000,NSECM,BANKBARODA,198.18,3,51538066.7,261230
0,09:18:00.000000000,NSEFO,BANKBARODA25APRFUT,199.98,2925,2915640,14625
0,09:18:00.000000000,NSEFO,BANKBARODA25MARFUT,198.83,2925,117076927.5,590850
0,09:18:00.000000000,NSECM,BANKNIFTY,48361.85,0,0,0
0,09:18:00.000000000,NSEFO,BANKNIFTY25APRFUT,48848.05,30,124583692.5,2550
0,09:18:00.000000000,NSEFO,BANKNIFTY25MARFUT,48540,30,2184948900,45000
0,09:18:00.000000000,NSECM,CANBK,82.88,1,62009503.92,749994
0,09:18:00.000000000,NSEFO,CANBK25APRFUT,83.7,6750,5647725,67500
0,09:18:00.000000000,NSEFO,CANBK25MARFUT,83.2,6750,116097502.5,1397250
0,09:18:00.000000000,NSECM,FEDERALBNK,176.77,133,12441335.06,70294
0,09:18:00.000000000,NSEFO,FEDERALBNK25APRFUT,178.2,5000,6231400,35000
0,09:18:00.000000000,NSEFO,FEDERALBNK25MARFUT,177.2,5000,62051500,350000
0,09:18:00.000000000,NSECM,HDFCBANK,1700.2,3,999273932.2,587014
0,09:18:00.000000000,NSEFO,HDFCBANK25APRFUT,1715.85,550,51934712.5,30250
0,09:18:00.000000000,NSEFO,HDFCBANK25MARFUT,1704.5,550,1186135715,694650
0,09:18:00.000000000,NSECM,ICICIBANK,1222.25,10,963472264.9,789822
0,09:18:00.000000000,NSEFO,ICICIBANK25APRFUT,1232.55,700,15530382,12600
0,09:18:00.000000000,NSEFO,ICICIBANK25MARFUT,1226.1,700,956034450,780500
0,09:18:00.000000000,NSECM,IDFCFIRSTB,57.07,19,50042747.7,877635
0,09:18:00.000000000,NSEFO,IDFCFIRSTB25APRFUT,57.39,7500,3873150,67500
0,09:18:00.000000000,NSEFO,IDFCFIRSTB25MARFUT,57.43,7500,70983000,1237500
0,09:18:00.000000000,NSECM,INDUSINDBK,989.4,10,112458278.4,113467
0,09:18:00.000000000,NSEFO,INDUSINDBK25APRFUT,997.85,500,6990340,7000
0,09:18:00.000000000,NSEFO,INDUSINDBK25MARFUT,990.9,500,163843350,165000
0,09:18:00.000000000,NSECM,KOTAKBANK,1898.85,1,228741700.7,120205
0,09:18:00.000000000,NSEFO,KOTAKBANK25APRFUT,1915,400,13045528,6800
0,09:18:00.000000000,NSEFO,KOTAKBANK25MARFUT,1904.25,400,243261744,127600
0,09:18:00.000000000,NSECM,PNB,88.09,12,82451408.58,938334
0,09:18:00.000000000,NSEFO,PNB25APRFUT,88.79,8000,2129520,24000
0,09:18:00.000000000,NSEFO,PNB25MARFUT,88.32,8000,153977760,1744000
0,09:18:00.000000000,NSECM,SBIN,722.55,50,418410033.3,579941
0,09:18:00.000000000,NSEFO,SBIN25APRFUT,727.7,750,43090155,59250
0,09:18:00.000000000,NSEFO,SBIN25MARFUT,724.75,750,828251760,1144500
0,09:19:00.000000000,NSECM,AUBANK,549.95,10,16635379.53,30261
0,09:19:00.000000000,NSEFO,AUBANK25APRFUT,551.3,1000,2200400,4000
0,09:19:00.000000000,NSEFO,AUBANK25MARFUT,551.2,1000,62215540,113000
0,09:19:00.000000000,NSECM,AXISBANK,1003.75,17,210977757.4,209782
0,09:19:00.000000000,NSEFO,AXISBANK25APRFUT,1013,625,6333750,6250
0,09:19:00.000000000,NSEFO,AXISBANK25MARFUT,1006.25,625,260282925,258125
0,09:19:00.000000000,NSECM,BANKBARODA,198.29,29,65874433.14,333609
0,09:19:00.000000000,NSEFO,BANKBARODA25APRFUT,200.08,2925,7011927,35100
0,09:19:00.000000000,NSEFO,BANKBARODA25MARFUT,198.96,2925,159547781.3,804375
0,09:19:00.000000000,NSECM,BANKNIFTY,48343.85,0,0,0
0,09:19:00.000000000,NSEFO,BANKNIFTY25APRFUT,48820,30,139229824.5,2850
0,09:19:00.000000000,NSEFO,BANKNIFTY25MARFUT,48510,30,2458621121,50640
0,09:19:00.000000000,NSECM,CANBK,83.04,12,74432346.46,899702
0,09:19:00.000000000,NSEFO,CANBK25APRFUT,83.8,6750,7907760,94500
0,09:19:00.000000000,NSEFO,CANBK25MARFUT,83.3,13500,134638200,1620000
0,09:19:00.000000000,NSECM,FEDERALBNK,176.81,1181,15083716.48,85238
0,09:19:00.000000000,NSEFO,FEDERALBNK25APRFUT,178.1,5000,8902500,50000
0,09:19:00.000000000,NSEFO,FEDERALBNK25MARFUT,177.16,5000,78871800,445000
0,09:19:00.000000000,NSECM,HDFCBANK,1697.5,82,1259513004,740189
0,09:19:00.000000000,NSEFO,HDFCBANK25APRFUT,1713.7,550,65137759.5,37950
0,09:19:00.000000000,NSEFO,HDFCBANK25MARFUT,1703.6,550,1500185621,878900
0,09:19:00.000000000,NSECM,ICICIBANK,1220.95,43,991370446.1,812672
0,09:19:00.000000000,NSEFO,ICICIBANK25APRFUT,1232.55,700,15530382,12600
0,09:19:00.000000000,NSEFO,ICICIBANK25MARFUT,1225.15,700,1056388256,862400
0,09:19:00.000000000,NSECM,IDFCFIRSTB,57.2,1,56239336.08,986136
0,09:19:00.000000000,NSEFO,IDFCFIRSTB25APRFUT,57.56,7500,5167800,90000
0,09:19:00.000000000,NSEFO,IDFCFIRSTB25MARFUT,57.41,7500,86900400,1515000
0,09:19:00.000000000,NSECM,INDUSINDBK,989.45,8,124704497.4,125851
0,09:19:00.000000000,NSEFO,INDUSINDBK25APRFUT,996.15,500,11475045,11500
0,09:19:00.000000000,NSEFO,INDUSINDBK25MARFUT,991.8,500,176727300,178000
