date,time,exchange,name,ltp,last_trade_qty,total_trade_amount,total_trade_qty
0,09:15:00.000000000,NSECM,AUBANK,525.05,112,1992564.75,3795
0,09:15:00.000000000,NSEFO,AUBANK25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,AUBANK25MARFUT,528.1,1000,528100,1000
0,09:15:00.000000000,NSECM,AXISBANK,1057,24,9728062.5,9210
0,09:15:00.000000000,NSEFO,AXISBANK25APRFUT,1059.25,625,662031.25,625
0,09:15:00.000000000,NSEFO,AXISBANK25MARFUT,1057.75,625,1322525,1250
0,09:15:00.000000000,NSECM,BANKBARODA,214.65,3,2836385.1,13214
0,09:15:00.000000000,NSEFO,BANKBARODA25APRFUT,215.31,2925,629781.75,2925
0,09:15:00.000000000,NSEFO,BANKBARODA25MARFUT,214.1,2925,626242.5,2925
0,09:15:00.000000000,NSECM,BANKNIFTY,49925.55,0,0,0
0,09:15:00.000000000,NSEFO,BANKNIFTY25APRFUT,50164,30,1504920,30
0,09:15:00.000000000,NSEFO,BANKNIFTY25MARFUT,49933.05,30,17985582,360
0,09:15:00.000000000,NSECM,CANBK,85.99,100,7873416.38,91562
0,09:15:00.000000000,NSEFO,CANBK25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,CANBK25MARFUT,85.9,6750,579825,6750
0,09:15:00.000000000,NSECM,FEDERALBNK,186.8,150,1302369.6,6972
0,09:15:00.000000000,NSEFO,FEDERALBNK25APRFUT,187.36,5000,1873600,10000
0,09:15:00.000000000,NSEFO,FEDERALBNK25MARFUT,187,5000,935000,5000
0,09:15:00.000000000,NSECM,HDFCBANK,1753.1,5,603513013.5,344084
0,09:15:00.000000000,NSEFO,HDFCBANK25APRFUT,1761.05,550,968577.5,550
0,09:15:00.000000000,NSEFO,HDFCBANK25MARFUT,1754.3,550,31907881.5,18150
0,09:15:00.000000000,NSECM,ICICIBANK,1320,75,273292800,207040
0,09:15:00.000000000,NSEFO,ICICIBANK25APRFUT,1324.3,700,1854020,1400
0,09:15:00.000000000,NSEFO,ICICIBANK25MARFUT,1320,700,12931590,9800
0,09:15:00.000000000,NSECM,IDFCFIRSTB,55.68,100,4269041.28,76671
0,09:15:00.000000000,NSEFO,IDFCFIRSTB25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,IDFCFIRSTB25MARFUT,55.61,7500,417075,7500
0,09:15:00.000000000,NSECM,INDUSINDBK,697.5,5,20959875,30050
0,09:15:00.000000000,NSEFO,INDUSINDBK25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,INDUSINDBK25MARFUT,693.95,500,346975,500
0,09:15:00.000000000,NSECM,KOTAKBANK,2031,13,8233674,4054
0,09:15:00.000000000,NSEFO,KOTAKBANK25APRFUT,2039.5,400,815800,400
0,09:15:00.000000000,NSEFO,KOTAKBANK25MARFUT,2030.45,400,4056760,2000
0,09:15:00.000000000,NSECM,PNB,91.66,4,4119475.38,44943
