date,time,exchange,name,ltp,last_trade_qty,total_trade_amount,total_trade_qty
0,09:15:00.000000000,NSECM,AUBANK,681,25,10082205,14805
0,09:15:00.000000000,NSEFO,AUBANK25JUNFUT,652,1000,652000,1000
0,09:15:00.000000000,NSEFO,AUBANK25MAYFUT,667,1000,667000,1000
0,09:15:00.000000000,NSECM,AXISBANK,1167,18,343748650.6,292704
0,09:15:00.000000000,NSEFO,AXISBANK25JUNFUT,1178.8,625,3686375,3125
0,09:15:00.000000000,NSEFO,AXISBANK25MAYFUT,1170,3750,259906593.8,221875
0,09:15:00.000000000,NSECM,BANKBARODA,251.55,10,2476509.75,9845
0,09:15:00.000000000,NSEFO,BANKBARODA25JUNFUT,254.22,2925,743593.5,2925
0,09:15:00.000000000,NSEFO,BANKBARODA25MAYFUT,253.1,2925,740317.5,2925
0,09:15:00.000000000,NSECM,BANKNIFTY,55201.4,0,0,0
0,09:15:00.000000000,NSEFO,BANKNIFTY25JUNFUT,55506,30,3330360,60
0,09:15:00.000000000,NSEFO,BANKNIFTY25MAYFUT,55320.2,30,102895311.6,1860
0,09:15:00.000000000,NSECM,CANBK,99.4,25,4801318.2,48303
0,09:15:00.000000000,NSEFO,CANBK25JUNFUT,100.3,6750,677025,6750
0,09:15:00.000000000,NSEFO,CANBK25MAYFUT,99.32,6750,2011837.5,20250
0,09:15:00.000000000,NSECM,FEDERALBNK,201.8,1,3856196.2,19109
0,09:15:00.000000000,NSEFO,FEDERALBNK25JUNFUT,202.66,10000,2026600,10000
0,09:15:00.000000000,NSEFO,FEDERALBNK25MAYFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,HDFCBANK,1918.2,32,346035381.6,179796
0,09:15:00.000000000,NSEFO,HDFCBANK25JUNFUT,1936.8,550,2130480,1100
0,09:15:00.000000000,NSEFO,HDFCBANK25MAYFUT,1922.6,550,6358374,3300
0,09:15:00.000000000,NSECM,ICICIBANK,1410,1,268033950,190095
0,09:15:00.000000000,NSEFO,ICICIBANK25JUNFUT,1415,700,1981000,1400
0,09:15:00.000000000,NSEFO,ICICIBANK25MAYFUT,1412.8,700,44478945,31500
0,09:15:00.000000000,NSECM,IDFCFIRSTB,67.7,100,6660258.3,98379
0,09:15:00.000000000,NSEFO,IDFCFIRSTB25JUNFUT,68.55,7500,514125,7500
0,09:15:00.000000000,NSEFO,IDFCFIRSTB25MAYFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,INDUSINDBK,823.05,50,46458361.18,56518
0,09:15:00.000000000,NSEFO,INDUSINDBK25JUNFUT,825,1000,825000,1000
0,09:15:00.000000000,NSEFO,INDUSINDBK25MAYFUT,828.3,500,4133100,5000
0,09:15:00.000000000,NSECM,KOTAKBANK,2220,4,11519580,5189
0,09:15:00.000000000,NSEFO,KOTAKBANK25JUNFUT,2247.6,400,899040,400
0,09:15:00.000000000,NSEFO,KOTAKBANK25MAYFUT,2235,400,894000,400
0,09:15:00.000000000,NSECM,PNB,103.39,10,8230464.34,79606
0,09:15:00.000000000,NSEFO,PNB25JUNFUT,103.52,8000,828160,8000
0,09:15:00.000000000,NSEFO,PNB25MAYFUT,103.18,8000,825440,8000
0,09:15:00.000000000,NSECM,SBIN,812.5,74,34915685.75,42865
0,09:15:00.000000000,NSEFO,SBIN25JUNFUT,809.6,750,607200,750
0,09:15:00.000000000,NSEFO,SBIN25MAYFUT,807.85,750,15765555,19500
0,09:16:00.000000000,NSECM,AUBANK,678.2,358,54318955.38,80133
0,09:16:00.000000000,NSEFO,AUBANK25JUNFUT,652,1000,1956000,3000
0,09:16:00.000000000,NSEFO,AUBANK25MAYFUT,666.95,1000,58577200,88000
0,09:16:00.000000000,NSECM,AXISBANK,1171.8,42,1346397385,1152550
0,09:16:00.000000000,NSEFO,AXISBANK25JUNFUT,1179.5,625,66870781.25,56875
0,09:16:00.000000000,NSEFO,AXISBANK25MAYFUT,1174,625,3024360750,2586250
0,09:16:00.000000000,NSECM,BANKBARODA,253.44,50,32589865.92,129079
0,09:16:00.000000000,NSEFO,BANKBARODA25JUNFUT,255.07,2925,746079.75,2925
0,09:16:00.000000000,NSEFO,BANKBARODA25MAYFUT,255.21,2925,64781700.75,254475
0,09:16:00.000000000,NSECM,BANKNIFTY,55342.65,0,0,0
0,09:16:00.000000000,NSEFO,BANKNIFTY25JUNFUT,55749.6,30,141896764.5,2550
0,09:16:00.000000000,NSEFO,BANKNIFTY25MAYFUT,55538,30,2254237620,40650
0,09:16:00.000000000,NSECM,CANBK,99.5,75,35812283.57,360031
0,09:16:00.000000000,NSEFO,CANBK25JUNFUT,100.56,6750,1357695,13500
0,09:16:00.000000000,NSEFO,CANBK25MAYFUT,99.99,6750,36384390,364500
0,09:16:00.000000000,NSECM,FEDERALBNK,202.64,62,16918743.84,83723
0,09:16:00.000000000,NSEFO,FEDERALBNK25JUNFUT,204.5,5000,8164800,40000
0,09:16:00.000000000,NSEFO,FEDERALBNK25MAYFUT,203.92,5000,51854250,255000
0,09:16:00.000000000,NSECM,HDFCBANK,1930,20,740395533.2,384691
0,09:16:00.000000000,NSEFO,HDFCBANK25JUNFUT,1954.2,550,24672054,12650
0,09:16:00.000000000,NSEFO,HDFCBANK25MAYFUT,1941.5,4950,978793816,505450
0,09:16:00.000000000,NSECM,ICICIBANK,1413.4,114,634511948.5,449629
0,09:16:00.000000000,NSEFO,ICICIBANK25JUNFUT,1427,700,5988486,4200
