date,time,exchange,name,ltp,last_trade_qty,total_trade_amount,total_trade_qty
0,09:15:00.000000000,NSECM,AUBANK,522.85,50,436056.9,834
0,09:15:00.000000000,NSEFO,AUBANK25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,AUBANK25MARFUT,524.7,1000,524700,1000
0,09:15:00.000000000,NSECM,AXISBANK,1025.2,3,8205700.8,8004
0,09:15:00.000000000,NSEFO,AXISBANK25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,AXISBANK25MARFUT,1029.35,1250,1286687.5,1250
0,09:15:00.000000000,NSECM,BANKBARODA,203.56,100,2334018.96,11466
0,09:15:00.000000000,NSEFO,BANKBARODA25APRFUT,204.67,2925,598659.75,2925
0,09:15:00.000000000,NSEFO,BANKBARODA25MARFUT,203.57,2925,595442.25,2925
0,09:15:00.000000000,NSECM,BANKNIFTY,47892.3,0,0,0
0,09:15:00.000000000,NSEFO,BANKNIFTY25APRFUT,48375,30,1451250,30
0,09:15:00.000000000,NSEFO,BANKNIFTY25MARFUT,48050,30,15857556,330
0,09:15:00.000000000,NSECM,CANBK,83.3,500,5199752.6,62422
0,09:15:00.000000000,NSEFO,CANBK25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,CANBK25MARFUT,83.73,6750,565177.5,6750
0,09:15:00.000000000,NSECM,FEDERALBNK,180,1,4673520,25964
0,09:15:00.000000000,NSEFO,FEDERALBNK25APRFUT,181.24,5000,906200,5000
0,09:15:00.000000000,NSEFO,FEDERALBNK25MARFUT,180.1,5000,900500,5000
0,09:15:00.000000000,NSECM,HDFCBANK,1691.55,15,334197842,197569
0,09:15:00.000000000,NSEFO,HDFCBANK25APRFUT,1706.1,550,938355,550
0,09:15:00.000000000,NSEFO,HDFCBANK25MARFUT,1701.65,1650,15916131,9350
0,09:15:00.000000000,NSECM,ICICIBANK,1246.95,10,81423341.1,65298
0,09:15:00.000000000,NSEFO,ICICIBANK25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,ICICIBANK25MARFUT,1247.2,700,873040,700
0,09:15:00.000000000,NSECM,IDFCFIRSTB,55.5,449,3858138,69516
0,09:15:00.000000000,NSEFO,IDFCFIRSTB25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,IDFCFIRSTB25MARFUT,55.74,7500,418050,7500
0,09:15:00.000000000,NSECM,INDUSINDBK,630.5,20,360011248.5,571519
0,09:15:00.000000000,NSEFO,INDUSINDBK25APRFUT,654.85,500,327425,500
0,09:15:00.000000000,NSEFO,INDUSINDBK25MARFUT,639.3,500,634570,1000
0,09:15:00.000000000,NSECM,KOTAKBANK,1940,2,9731040,5016
0,09:15:00.000000000,NSEFO,KOTAKBANK25APRFUT,1950.5,400,780200,400
0,09:15:00.000000000,NSEFO,KOTAKBANK25MARFUT,1940.3,400,776120,400
0,09:15:00.000000000,NSECM,PNB,88.54,65,3234897.44,36536
0,09:15:00.000000000,NSEFO,PNB25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,PNB25MARFUT,88.76,8000,710080,8000
0,09:15:00.000000000,NSECM,SBIN,730.6,1,7962809.4,10899
0,09:15:00.000000000,NSEFO,SBIN25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,SBIN25MARFUT,732,750,549000,750
0,09:16:00.000000000,NSECM,AUBANK,519.15,16,10248067.85,19687
0,09:16:00.000000000,NSEFO,AUBANK25APRFUT,519.8,3000,3120300,6000
0,09:16:00.000000000,NSEFO,AUBANK25MARFUT,520,1000,45200850,87000
0,09:16:00.000000000,NSECM,AXISBANK,1023.55,217,63271689.95,61705
0,09:16:00.000000000,NSEFO,AXISBANK25APRFUT,1033,625,6467000,6250
0,09:16:00.000000000,NSEFO,AXISBANK25MARFUT,1026.8,625,117505443.8,114375
0,09:16:00.000000000,NSECM,BANKBARODA,204.04,361,13004081.68,63758
0,09:16:00.000000000,NSEFO,BANKBARODA25APRFUT,205.8,2925,3610035,17550
0,09:16:00.000000000,NSEFO,BANKBARODA25MARFUT,204.6,2925,62831632.5,307125
0,09:16:00.000000000,NSECM,BANKNIFTY,47979.15,0,0,0
0,09:16:00.000000000,NSEFO,BANKNIFTY25APRFUT,48428.05,30,46483132.8,960
0,09:16:00.000000000,NSEFO,BANKNIFTY25MARFUT,48122.65,30,1010059260,21000
0,09:16:00.000000000,NSECM,CANBK,83.72,150,22519146,269400
0,09:16:00.000000000,NSEFO,CANBK25APRFUT,84.5,6750,2848162.5,33750
0,09:16:00.000000000,NSEFO,CANBK25MARFUT,83.99,6750,26047845,310500
0,09:16:00.000000000,NSECM,FEDERALBNK,179.81,71,13017579.36,72344
0,09:16:00.000000000,NSEFO,FEDERALBNK25APRFUT,180.99,5000,1809500,10000
0,09:16:00.000000000,NSEFO,FEDERALBNK25MARFUT,180.08,5000,38730100,215000
0,09:16:00.000000000,NSECM,HDFCBANK,1702.9,11,583511417.4,344220
0,09:16:00.000000000,NSEFO,HDFCBANK25APRFUT,1716.6,550,10368127,6050
0,09:16:00.000000000,NSEFO,HDFCBANK25MARFUT,1706.65,1100,611491892,358600
0,09:16:00.000000000,NSECM,ICICIBANK,1248.25,15,212987567,170763
0,09:16:00.000000000,NSEFO,ICICIBANK25APRFUT,1256.35,700,8797040,7000
0,09:16:00.000000000,NSEFO,ICICIBANK25MARFUT,1249.4,700,208060076,166600
0,09:16:00.000000000,NSECM,IDFCFIRSTB,55.52,165,25896212.37,465843
0,09:16:00.000000000,NSEFO,IDFCFIRSTB25APRFUT,55.95,7500,2939475,52500
0,09:16:00.000000000,NSEFO,IDFCFIRSTB25MARFUT,55.76,7500,62752500,1125000
0,09:16:00.000000000,NSECM,INDUSINDBK,619.6,100,2391853607,3834758
0,09:16:00.000000000,NSEFO,INDUSINDBK25APRFUT,622.15,500,21975800,35000
0,09:16:00.000000000,NSEFO,INDUSINDBK25MARFUT,625,500,251574075,400500
0,09:16:00.000000000,NSECM,KOTAKBANK,1943.25,3,176278942.8,90835
0,09:16:00.000000000,NSEFO,KOTAKBANK25APRFUT,1959.35,400,1566536,800
0,09:16:00.000000000,NSEFO,KOTAKBANK25MARFUT,1944.25,400,82434080,42400
0,09:16:00.000000000,NSECM,PNB,88.64,3,17859476.78,201506
0,09:16:00.000000000,NSEFO,PNB25APRFUT,89.35,8000,2142960,24000
0,09:16:00.000000000,NSEFO,PNB25MARFUT,88.75,8000,22725120,256000
0,09:16:00.000000000,NSECM,SBIN,732.6,57,77976430.76,106531
0,09:16:00.000000000,NSEFO,SBIN25APRFUT,737.8,750,1660297.5,2250
0,09:16:00.000000000,NSEFO,SBIN25MARFUT,733.6,750,119447107.5,162750
0,09:17:00.000000000,NSECM,AUBANK,521.05,2,14637913.92,28152
0,09:17:00.000000000,NSEFO,AUBANK25APRFUT,520.95,1000,16107600,31000
0,09:17:00.000000000,NSEFO,AUBANK25MARFUT,521.55,1000,122559520,236000
0,09:17:00.000000000,NSECM,AXISBANK,1022.5,7,101983344.1,99597
0,09:17:00.000000000,NSEFO,AXISBANK25APRFUT,1030.35,625,12915750,12500
0,09:17:00.000000000,NSEFO,AXISBANK25MARFUT,1025.95,625,209100475,203750
0,09:17:00.000000000,NSECM,BANKBARODA,203.42,29,19594177.9,96130
0,09:17:00.000000000,NSEFO,BANKBARODA25APRFUT,204.91,2925,9614124,46800
0,09:17:00.000000000,NSEFO,BANKBARODA25MARFUT,203.99,2925,105199380,514800
