date,time,exchange,name,ltp,last_trade_qty,total_trade_amount,total_trade_qty
0,09:15:00.000000000,NSECM,AUBANK,535,2,667680,1248
0,09:15:00.000000000,NSEFO,AUBANK25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,AUBANK25MAYFUT,528,1000,528000,1000
0,09:15:00.000000000,NSECM,AXISBANK,1091.7,50,64522745.1,59103
0,09:15:00.000000000,NSEFO,AXISBANK25APRFUT,1097.8,625,4778025,4375
0,09:15:00.000000000,NSEFO,AXISBANK25MAYFUT,1098.75,625,686718.75,625
0,09:15:00.000000000,NSECM,BANKBARODA,230,2,2886500,12550
0,09:15:00.000000000,NSEFO,BANKBARODA25APRFUT,231.45,2925,676991.25,2925
0,09:15:00.000000000,NSEFO,BANKBARODA25MAYFUT,231.8,8775,2034045,8775
0,09:15:00.000000000,NSECM,BANKNIFTY,50975.3,0,0,0
0,09:15:00.000000000,NSEFO,BANKNIFTY25APRFUT,51263.55,30,30716352,600
0,09:15:00.000000000,NSEFO,BANKNIFTY25MAYFUT,51339.55,30,1540186.5,30
0,09:15:00.000000000,NSECM,CANBK,90.5,5,8222015.5,90851
0,09:15:00.000000000,NSEFO,CANBK25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,CANBK25MAYFUT,91.06,6750,614655,6750
0,09:15:00.000000000,NSECM,FEDERALBNK,193.05,16,1262160.9,6538
0,09:15:00.000000000,NSEFO,FEDERALBNK25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,FEDERALBNK25MAYFUT,194.23,5000,971150,5000
0,09:15:00.000000000,NSECM,HDFCBANK,1770.7,1,356516279.4,201342
0,09:15:00.000000000,NSEFO,HDFCBANK25APRFUT,1779.35,550,978642.5,550
0,09:15:00.000000000,NSEFO,HDFCBANK25MAYFUT,1773.9,550,975645,550
0,09:15:00.000000000,NSECM,ICICIBANK,1322.15,45,282596341,213740
0,09:15:00.000000000,NSEFO,ICICIBANK25APRFUT,1337,700,18670960,14000
0,09:15:00.000000000,NSEFO,ICICIBANK25MAYFUT,1344.5,700,1882258,1400
0,09:15:00.000000000,NSECM,IDFCFIRSTB,57.97,2,17062194.16,294328
0,09:15:00.000000000,NSEFO,IDFCFIRSTB25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,IDFCFIRSTB25MAYFUT,57.86,7500,433950,7500
0,09:15:00.000000000,NSECM,INDUSINDBK,682.7,1,16556157.7,24251
0,09:15:00.000000000,NSEFO,INDUSINDBK25APRFUT,686.35,500,686350,1000
0,09:15:00.000000000,NSEFO,INDUSINDBK25MAYFUT,690.1,500,345050,500
0,09:15:00.000000000,NSECM,KOTAKBANK,2141,10,36086555,16855
0,09:15:00.000000000,NSEFO,KOTAKBANK25APRFUT,2155.65,400,862260,400
0,09:15:00.000000000,NSEFO,KOTAKBANK25MAYFUT,2170.7,400,868280,400
