date,time,exchange,name,ltp,last_trade_qty,total_trade_amount,total_trade_qty
0,09:15:00.000000000,NSECM,AUBANK,666,1000,155640870,233695
0,09:15:00.000000000,NSEFO,AUBANK25JUNFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,AUBANK25MAYFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,AXISBANK,1190,800,16287530,13687
0,09:15:00.000000000,NSEFO,AXISBANK25JUNFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,AXISBANK25MAYFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,BANKBARODA,248.6,2,4332103.6,17426
0,09:15:00.000000000,NSEFO,BANKBARODA25JUNFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,BANKBARODA25MAYFUT,250,2925,2199190.5,8775
0,09:15:00.000000000,NSECM,BANKNIFTY,55065.8,0,0,0
0,09:15:00.000000000,NSEFO,BANKNIFTY25JUNFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,BANKNIFTY25MAYFUT,55139.6,30,190180456.5,3450
0,09:15:00.000000000,NSECM,CANBK,97,498,12419104,128032
0,09:15:00.000000000,NSEFO,CANBK25JUNFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,CANBK25MAYFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,FEDERALBNK,190.9,25,3461971.5,18135
0,09:15:00.000000000,NSEFO,FEDERALBNK25JUNFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,FEDERALBNK25MAYFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,HDFCBANK,1939,4,340593106,175654
0,09:15:00.000000000,NSEFO,HDFCBANK25JUNFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,HDFCBANK25MAYFUT,1940.3,550,12805584,6600
0,09:15:00.000000000,NSECM,ICICIBANK,1439.9,1,66226120.18,45991
0,09:15:00.000000000,NSEFO,ICICIBANK25JUNFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,ICICIBANK25MAYFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,IDFCFIRSTB,66.39,1,4412013.84,66456
0,09:15:00.000000000,NSEFO,IDFCFIRSTB25JUNFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,IDFCFIRSTB25MAYFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,INDUSINDBK,855,1,15808095,18489
0,09:15:00.000000000,NSEFO,INDUSINDBK25JUNFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,INDUSINDBK25MAYFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,KOTAKBANK,2105.1,20,256228561.8,121718
0,09:15:00.000000000,NSEFO,KOTAKBANK25JUNFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,KOTAKBANK25MAYFUT,2121.1,400,141107304,66400
0,09:15:00.000000000,NSECM,PNB,99.4,250,10370402,104330
0,09:15:00.000000000,NSEFO,PNB25JUNFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,PNB25MAYFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,SBIN,782,3,187522036,239798
0,09:15:00.000000000,NSEFO,SBIN25JUNFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,SBIN25MAYFUT,779.9,750,86900152.5,111750
0,09:16:00.000000000,NSECM,AUBANK,661.45,20,2324285901,3530686
0,09:16:00.000000000,NSEFO,AUBANK25JUNFUT,659,1000,125923200,192000
0,09:16:00.000000000,NSEFO,AUBANK25MAYFUT,664.2,1000,1339363190,2029000
0,09:16:00.000000000,NSECM,AXISBANK,1188,339,184787329.3,155890
0,09:16:00.000000000,NSEFO,AXISBANK25JUNFUT,1194.8,625,6726937.5,5625
0,09:16:00.000000000,NSEFO,AXISBANK25MAYFUT,1193.3,625,202368000,170000
0,09:16:00.000000000,NSECM,BANKBARODA,249.7,1,44495541.2,178196
0,09:16:00.000000000,NSEFO,BANKBARODA25JUNFUT,251.84,2925,1472620.5,5850
0,09:16:00.000000000,NSEFO,BANKBARODA25MAYFUT,250.06,2925,90747540,362700
0,09:16:00.000000000,NSECM,BANKNIFTY,55287,0,0,0
0,09:16:00.000000000,NSEFO,BANKNIFTY25JUNFUT,55619.8,30,114935094,2070
0,09:16:00.000000000,NSEFO,BANKNIFTY25MAYFUT,55380,60,1925032644,34800
