date,time,exchange,name,ltp,last_trade_qty,total_trade_amount,total_trade_qty
0,09:15:00.000000000,NSECM,AUBANK,689.9,1,427738,620
0,09:15:00.000000000,NSEFO,AUBANK25JUNFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,AUBANK25MAYFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,AXISBANK,1208,15,10450408,8651
0,09:15:00.000000000,NSEFO,AXISBANK25JUNFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,AXISBANK25MAYFUT,1211.6,625,757250,625
0,09:15:00.000000000,NSECM,BANKBARODA,241.98,1,10676399.58,44121
0,09:15:00.000000000,NSEFO,BANKBARODA25JUNFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,BANKBARODA25MAYFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,BANKNIFTY,55443.85,0,0,0
0,09:15:00.000000000,NSEFO,BANKNIFTY25JUNFUT,55726,30,1671780,30
0,09:15:00.000000000,NSEFO,BANKNIFTY25MAYFUT,55700,30,1671000,30
0,09:15:00.000000000,NSECM,CANBK,108.88,50,18427613.36,169247
0,09:15:00.000000000,NSEFO,CANBK25JUNFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,CANBK25MAYFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,FEDERALBNK,202.1,29,1284749.7,6357
0,09:15:00.000000000,NSEFO,FEDERALBNK25JUNFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,FEDERALBNK25MAYFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,HDFCBANK,1928.1,31,1284205221,666047
0,09:15:00.000000000,NSEFO,HDFCBANK25JUNFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,HDFCBANK25MAYFUT,1939.1,550,13835893.5,7150
0,09:15:00.000000000,NSECM,ICICIBANK,1450.9,1,358833137.4,247437
0,09:15:00.000000000,NSEFO,ICICIBANK25JUNFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,ICICIBANK25MAYFUT,1460.6,2100,49106400,33600
0,09:15:00.000000000,NSECM,IDFCFIRSTB,68.55,3,7213722.15,105233
0,09:15:00.000000000,NSEFO,IDFCFIRSTB25JUNFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,IDFCFIRSTB25MAYFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,INDUSINDBK,786.4,2,15873687.21,20221
0,09:15:00.000000000,NSEFO,INDUSINDBK25JUNFUT,786.1,500,393050,500
0,09:15:00.000000000,NSEFO,INDUSINDBK25MAYFUT,784.85,500,786920,1000
0,09:15:00.000000000,NSECM,KOTAKBANK,2114.8,79,10531704,4980
0,09:15:00.000000000,NSEFO,KOTAKBANK25JUNFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,KOTAKBANK25MAYFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,PNB,101.9,9,16057605.8,157582
0,09:15:00.000000000,NSEFO,PNB25JUNFUT,nan,nan,nan,nan
