date,time,exchange,name,ltp,last_trade_qty,total_trade_amount,total_trade_qty
0,09:15:00.000000000,NSECM,AUBANK,582.35,38,860713.3,1478
0,09:15:00.000000000,NSEFO,AUBANK25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,AUBANK25MAYFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,AXISBANK,1155.6,50,44387751.6,38411
0,09:15:00.000000000,NSEFO,AXISBANK25APRFUT,1162.2,625,726375,625
0,09:15:00.000000000,NSEFO,AXISBANK25MAYFUT,1168.6,625,730375,625
0,09:15:00.000000000,NSECM,BANKBARODA,241.05,2,6778567.05,28121
0,09:15:00.000000000,NSEFO,BANKBARODA25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,BANKBARODA25MAYFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,BANKNIFTY,53153.75,0,0,0
0,09:15:00.000000000,NSEFO,BANKNIFTY25APRFUT,53128.4,30,44634576,840
0,09:15:00.000000000,NSEFO,BANKNIFTY25MAYFUT,53254.6,30,33539429.7,630
0,09:15:00.000000000,NSECM,CANBK,94.98,2,6881870.88,72456
0,09:15:00.000000000,NSEFO,CANBK25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,CANBK25MAYFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,FEDERALBNK,194.01,5,8456701.89,43589
0,09:15:00.000000000,NSEFO,FEDERALBNK25APRFUT,195.45,5000,977250,5000
0,09:15:00.000000000,NSEFO,FEDERALBNK25MAYFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,HDFCBANK,1882,1,746448250,396625
0,09:15:00.000000000,NSEFO,HDFCBANK25APRFUT,1877.5,550,1032625,550
0,09:15:00.000000000,NSEFO,HDFCBANK25MAYFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,ICICIBANK,1362,50,241959300,177650
0,09:15:00.000000000,NSEFO,ICICIBANK25APRFUT,1361.3,700,3811640,2800
0,09:15:00.000000000,NSEFO,ICICIBANK25MAYFUT,1365.3,700,955710,700
0,09:15:00.000000000,NSECM,IDFCFIRSTB,63,100,35323911,560697
0,09:15:00.000000000,NSEFO,IDFCFIRSTB25APRFUT,62.82,7500,1417050,22500
0,09:15:00.000000000,NSEFO,IDFCFIRSTB25MAYFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,INDUSINDBK,788.25,156,40093548,50864
0,09:15:00.000000000,NSEFO,INDUSINDBK25APRFUT,785,500,392500,500
0,09:15:00.000000000,NSEFO,INDUSINDBK25MAYFUT,790.1,500,395050,500
0,09:15:00.000000000,NSECM,KOTAKBANK,2115,2,17372610,8214
0,09:15:00.000000000,NSEFO,KOTAKBANK25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,KOTAKBANK25MAYFUT,2139,400,855600,400
0,09:15:00.000000000,NSECM,PNB,98.78,1,4822538.38,48821
0,09:15:00.000000000,NSEFO,PNB25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,PNB25MAYFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,SBIN,772,5,17528260,22705
0,09:15:00.000000000,NSEFO,SBIN25APRFUT,771.85,750,1157775,1500
0,09:15:00.000000000,NSEFO,SBIN25MAYFUT,nan,nan,nan,nan
0,09:16:00.000000000,NSECM,AUBANK,579.5,70,16907902.2,29140
0,09:16:00.000000000,NSEFO,AUBANK25APRFUT,571.65,1000,9173760,16000
0,09:16:00.000000000,NSEFO,AUBANK25MAYFUT,562.9,1000,3947440,7000
