date,time,exchange,name,ltp,last_trade_qty,total_trade_amount,total_trade_qty
0,09:15:00.000000000,NSECM,AUBANK,503.7,14,986748.3,1959
0,09:15:00.000000000,NSEFO,AUBANK25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,AUBANK25MARFUT,503.75,1000,503750,1000
0,09:15:00.000000000,NSECM,AXISBANK,1011.1,1,85879800.7,84937
0,09:15:00.000000000,NSEFO,AXISBANK25APRFUT,1022.55,625,639093.75,625
0,09:15:00.000000000,NSEFO,AXISBANK25MARFUT,1015.35,625,1271125,1250
0,09:15:00.000000000,NSECM,BANKBARODA,206.9,48,2683286.1,12969
0,09:15:00.000000000,NSEFO,BANKBARODA25APRFUT,206.61,2925,1208668.5,5850
0,09:15:00.000000000,NSEFO,BANKBARODA25MARFUT,205.39,2925,600765.75,2925
0,09:15:00.000000000,NSECM,BANKNIFTY,48297.95,0,0,0
0,09:15:00.000000000,NSEFO,BANKNIFTY25APRFUT,48415.3,150,7262295,150
0,09:15:00.000000000,NSEFO,BANKNIFTY25MARFUT,48101,30,1443030,30
0,09:15:00.000000000,NSECM,CANBK,83.3,26,3530503.9,42383
0,09:15:00.000000000,NSEFO,CANBK25APRFUT,83.58,6750,1128330,13500
0,09:15:00.000000000,NSEFO,CANBK25MARFUT,83.28,6750,562140,6750
0,09:15:00.000000000,NSECM,FEDERALBNK,177.48,119,1234195.92,6954
0,09:15:00.000000000,NSEFO,FEDERALBNK25APRFUT,177.84,5000,889200,5000
0,09:15:00.000000000,NSEFO,FEDERALBNK25MARFUT,176.56,5000,882800,5000
0,09:15:00.000000000,NSECM,HDFCBANK,1709.4,13,1773059161,1039893
0,09:15:00.000000000,NSEFO,HDFCBANK25APRFUT,1717.5,550,1889250,1100
0,09:15:00.000000000,NSEFO,HDFCBANK25MARFUT,1710.35,550,940692.5,550
0,09:15:00.000000000,NSECM,ICICIBANK,1260.8,170,832525047.1,662211
0,09:15:00.000000000,NSEFO,ICICIBANK25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,ICICIBANK25MARFUT,1261.85,700,82180938,65100
0,09:15:00.000000000,NSECM,IDFCFIRSTB,53.55,100,6671312.55,124581
0,09:15:00.000000000,NSEFO,IDFCFIRSTB25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,IDFCFIRSTB25MARFUT,53.42,7500,400650,7500
0,09:15:00.000000000,NSECM,INDUSINDBK,703.9,33,247440439.1,351064
0,09:15:00.000000000,NSEFO,INDUSINDBK25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,INDUSINDBK25MARFUT,672.2,500,336100,500
0,09:15:00.000000000,NSECM,KOTAKBANK,1980.1,134,35006187.9,17679
0,09:15:00.000000000,NSEFO,KOTAKBANK25APRFUT,1997,400,798800,400
0,09:15:00.000000000,NSEFO,KOTAKBANK25MARFUT,1983.6,400,793440,400
0,09:15:00.000000000,NSECM,PNB,87.4,132,4999629.6,57204
0,09:15:00.000000000,NSEFO,PNB25APRFUT,87.8,8000,702400,8000
0,09:15:00.000000000,NSEFO,PNB25MARFUT,87.18,8000,697440,8000
0,09:15:00.000000000,NSECM,SBIN,730.1,1,27030282.66,37074
0,09:15:00.000000000,NSEFO,SBIN25APRFUT,735,750,551250,750
0,09:15:00.000000000,NSEFO,SBIN25MARFUT,730.85,750,2187450,3000
0,09:16:00.000000000,NSECM,AUBANK,500.9,1,18401382,36600
0,09:16:00.000000000,NSEFO,AUBANK25APRFUT,504.15,1000,3028620,6000
0,09:16:00.000000000,NSEFO,AUBANK25MARFUT,501.4,1000,49294000,98000
0,09:16:00.000000000,NSECM,AXISBANK,1017.5,6,241438912.2,238089
0,09:16:00.000000000,NSEFO,AXISBANK25APRFUT,1024.05,625,11501325,11250
0,09:16:00.000000000,NSEFO,AXISBANK25MARFUT,1017.95,625,320225850,315000
0,09:16:00.000000000,NSECM,BANKBARODA,205.5,24,32535132.14,158291
0,09:16:00.000000000,NSEFO,BANKBARODA25APRFUT,206.73,2925,7859767.5,38025
0,09:16:00.000000000,NSEFO,BANKBARODA25MARFUT,205.34,5850,61848744.75,301275
0,09:16:00.000000000,NSECM,BANKNIFTY,48256.55,0,0,0
0,09:16:00.000000000,NSEFO,BANKNIFTY25APRFUT,48605.65,30,87437556,1800
