date,time,exchange,name,ltp,last_trade_qty,total_trade_amount,total_trade_qty
0,09:15:00.000000000,NSECM,AUBANK,559.85,1,818500.7,1462
0,09:15:00.000000000,NSEFO,AUBANK25APRFUT,562.65,1000,1125300,2000
0,09:15:00.000000000,NSEFO,AUBANK25MAYFUT,557,1000,557000,1000
0,09:15:00.000000000,NSECM,AXISBANK,1081.5,1,12410212.5,11475
0,09:15:00.000000000,NSEFO,AXISBANK25APRFUT,1083.25,625,15581350,14375
0,09:15:00.000000000,NSEFO,AXISBANK25MAYFUT,1091.6,625,2046862.5,1875
0,09:15:00.000000000,NSECM,BANKBARODA,237.94,387,34801805.68,145724
0,09:15:00.000000000,NSEFO,BANKBARODA25APRFUT,238.92,2925,11882286,49725
0,09:15:00.000000000,NSEFO,BANKBARODA25MAYFUT,240,2925,702000,2925
0,09:15:00.000000000,NSECM,BANKNIFTY,51767.05,0,0,0
0,09:15:00.000000000,NSEFO,BANKNIFTY25APRFUT,51813.9,120,32637087,630
0,09:15:00.000000000,NSEFO,BANKNIFTY25MAYFUT,51970,30,1559100,30
0,09:15:00.000000000,NSECM,CANBK,94.41,1,5516187.48,58428
0,09:15:00.000000000,NSEFO,CANBK25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,CANBK25MAYFUT,95.15,6750,642262.5,6750
0,09:15:00.000000000,NSECM,FEDERALBNK,195.6,1,19778643.1,101030
0,09:15:00.000000000,NSEFO,FEDERALBNK25APRFUT,196,5000,980000,5000
0,09:15:00.000000000,NSEFO,FEDERALBNK25MAYFUT,195.9,5000,979500,5000
0,09:15:00.000000000,NSECM,HDFCBANK,1816.45,10,1139726341,628447
0,09:15:00.000000000,NSEFO,HDFCBANK25APRFUT,1819.3,550,75020137.5,41250
0,09:15:00.000000000,NSEFO,HDFCBANK25MAYFUT,1809.9,550,3981626,2200
0,09:15:00.000000000,NSECM,ICICIBANK,1335.5,1,205622063.5,154574
0,09:15:00.000000000,NSEFO,ICICIBANK25APRFUT,1337.4,700,21554841,16100
0,09:15:00.000000000,NSEFO,ICICIBANK25MAYFUT,1341.1,700,938770,700
0,09:15:00.000000000,NSECM,IDFCFIRSTB,60.16,15,20957410.8,346977
0,09:15:00.000000000,NSEFO,IDFCFIRSTB25APRFUT,60.27,15000,10384500,172500
0,09:15:00.000000000,NSEFO,IDFCFIRSTB25MAYFUT,61.05,7500,457875,7500
0,09:15:00.000000000,NSECM,INDUSINDBK,702.4,417,18707177.5,26675
0,09:15:00.000000000,NSEFO,INDUSINDBK25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,INDUSINDBK25MAYFUT,716,500,358000,500
0,09:15:00.000000000,NSECM,KOTAKBANK,2130.9,4,29221031.7,13713
0,09:15:00.000000000,NSEFO,KOTAKBANK25APRFUT,2141.4,400,856560,400
