date,time,exchange,name,ltp,last_trade_qty,total_trade_amount,total_trade_qty
0,09:15:00.000000000,NSECM,AUBANK,527.9,230,4852984.7,9193
0,09:15:00.000000000,NSEFO,AUBANK25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,AUBANK25MARFUT,528.6,1000,528600,1000
0,09:15:00.000000000,NSECM,AXISBANK,1054.35,9,10522413,9980
0,09:15:00.000000000,NSEFO,AXISBANK25APRFUT,1060.1,625,1325125,1250
0,09:15:00.000000000,NSEFO,AXISBANK25MARFUT,1052.95,625,1316187.5,1250
0,09:15:00.000000000,NSECM,BANKBARODA,215.6,100,4726598.8,21923
0,09:15:00.000000000,NSEFO,BANKBARODA25APRFUT,217.15,2925,635163.75,2925
0,09:15:00.000000000,NSEFO,BANKBARODA25MARFUT,215.7,2925,630922.5,2925
0,09:15:00.000000000,NSECM,BANKNIFTY,49975.55,0,0,0
0,09:15:00.000000000,NSEFO,BANKNIFTY25APRFUT,50416.15,30,1512484.5,30
0,09:15:00.000000000,NSEFO,BANKNIFTY25MARFUT,50001.15,30,37500292.5,750
0,09:15:00.000000000,NSECM,CANBK,86,275,5433566,63181
0,09:15:00.000000000,NSEFO,CANBK25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,CANBK25MARFUT,85.88,6750,579690,6750
0,09:15:00.000000000,NSECM,FEDERALBNK,187,10,1257949,6727
0,09:15:00.000000000,NSEFO,FEDERALBNK25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,FEDERALBNK25MARFUT,186.58,5000,932900,5000
0,09:15:00.000000000,NSECM,HDFCBANK,1761.45,156,512407404.6,291837
0,09:15:00.000000000,NSEFO,HDFCBANK25APRFUT,1775.1,550,976305,550
0,09:15:00.000000000,NSEFO,HDFCBANK25MARFUT,1764.55,550,14563725,8250
0,09:15:00.000000000,NSECM,ICICIBANK,1316,1,130934104,99494
0,09:15:00.000000000,NSEFO,ICICIBANK25APRFUT,1328,700,1859200,1400
0,09:15:00.000000000,NSEFO,ICICIBANK25MARFUT,1316.45,700,6448155,4900
0,09:15:00.000000000,NSECM,IDFCFIRSTB,55.75,250,3385195.75,60721
0,09:15:00.000000000,NSEFO,IDFCFIRSTB25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,IDFCFIRSTB25MARFUT,55.97,7500,419775,7500
0,09:15:00.000000000,NSECM,INDUSINDBK,685,12,15391950,22470
0,09:15:00.000000000,NSEFO,INDUSINDBK25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,INDUSINDBK25MARFUT,688.7,1000,688700,1000
0,09:15:00.000000000,NSECM,KOTAKBANK,2040,1,13566000,6650
0,09:15:00.000000000,NSEFO,KOTAKBANK25APRFUT,2045.05,400,818020,400
0,09:15:00.000000000,NSEFO,KOTAKBANK25MARFUT,2043.15,400,817260,400
0,09:15:00.000000000,NSECM,PNB,91.3,100,3788493.5,41495
0,09:15:00.000000000,NSEFO,PNB25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,PNB25MARFUT,91.42,8000,731360,8000
0,09:15:00.000000000,NSECM,SBIN,749.95,10,13481851.15,17977
0,09:15:00.000000000,NSEFO,SBIN25APRFUT,754,750,1131000,1500
0,09:15:00.000000000,NSEFO,SBIN25MARFUT,749.05,750,561787.5,750
0,09:16:00.000000000,NSECM,AUBANK,535.2,35,58266030.2,109465
0,09:16:00.000000000,NSEFO,AUBANK25APRFUT,530.85,1000,16976960,32000
0,09:16:00.000000000,NSEFO,AUBANK25MARFUT,532.5,1000,58416600,110000
0,09:16:00.000000000,NSECM,AXISBANK,1052.2,5,62762290.74,59622
0,09:16:00.000000000,NSEFO,AXISBANK25APRFUT,1060,625,6624437.5,6250
0,09:16:00.000000000,NSEFO,AXISBANK25MARFUT,1053.45,625,87533118.75,83125
0,09:16:00.000000000,NSECM,BANKBARODA,215.6,3,26561692.2,123405
0,09:16:00.000000000,NSEFO,BANKBARODA25APRFUT,216.46,2925,7595640,35100
0,09:16:00.000000000,NSEFO,BANKBARODA25MARFUT,215.34,5850,25777878.75,119925
0,09:16:00.000000000,NSECM,BANKNIFTY,50053.55,0,0,0
0,09:16:00.000000000,NSEFO,BANKNIFTY25APRFUT,50440,30,126925923.6,2520
0,09:16:00.000000000,NSEFO,BANKNIFTY25MARFUT,50115,30,882818848.8,17640
0,09:16:00.000000000,NSECM,CANBK,85.82,19,26044257.24,303334
0,09:16:00.000000000,NSEFO,CANBK25APRFUT,86.2,6750,3493125,40500
0,09:16:00.000000000,NSEFO,CANBK25MARFUT,85.74,6750,21969225,256500
0,09:16:00.000000000,NSECM,FEDERALBNK,186.43,166,13617884.28,73073
0,09:16:00.000000000,NSEFO,FEDERALBNK25APRFUT,187.36,5000,936800,5000
0,09:16:00.000000000,NSEFO,FEDERALBNK25MARFUT,186.42,20000,30726300,165000
0,09:16:00.000000000,NSECM,HDFCBANK,1768.75,4,921096193.2,523252
0,09:16:00.000000000,NSEFO,HDFCBANK25APRFUT,1783,550,29377260,16500
0,09:16:00.000000000,NSEFO,HDFCBANK25MARFUT,1772.35,550,556116599.5,314050
0,09:16:00.000000000,NSECM,ICICIBANK,1318.9,1,498214282.6,378427
0,09:16:00.000000000,NSEFO,ICICIBANK25APRFUT,1327.45,700,21349566,16100
0,09:16:00.000000000,NSEFO,ICICIBANK25MARFUT,1320.1,700,497221032,377300
0,09:16:00.000000000,NSECM,IDFCFIRSTB,55.88,50,38681877.55,692603
0,09:16:00.000000000,NSEFO,IDFCFIRSTB25APRFUT,56.3,7500,3373800,60000
0,09:16:00.000000000,NSEFO,IDFCFIRSTB25MARFUT,56.1,7500,23515800,420000
0,09:16:00.000000000,NSECM,INDUSINDBK,681.75,12,95817016.1,140309
0,09:16:00.000000000,NSEFO,INDUSINDBK25APRFUT,686.1,500,686100,1000
0,09:16:00.000000000,NSEFO,INDUSINDBK25MARFUT,688.7,1000,1377400,2000
0,09:16:00.000000000,NSECM,KOTAKBANK,2040.4,5,119801892.7,58746
0,09:16:00.000000000,NSEFO,KOTAKBANK25APRFUT,2049.05,400,2459856,1200
0,09:16:00.000000000,NSEFO,KOTAKBANK25MARFUT,2038.05,400,213637944,104800
0,09:16:00.000000000,NSECM,PNB,91.36,27,25815991.71,282977
0,09:16:00.000000000,NSEFO,PNB25APRFUT,91.72,8000,5139120,56000
0,09:16:00.000000000,NSEFO,PNB25MARFUT,91.02,8000,19681920,216000
0,09:16:00.000000000,NSECM,SBIN,748.95,9,65489441.08,87388
0,09:16:00.000000000,NSEFO,SBIN25APRFUT,754.6,750,12449910,16500
0,09:16:00.000000000,NSEFO,SBIN25MARFUT,749.75,1500,173742975,231750
0,09:17:00.000000000,NSECM,AUBANK,533.45,1,79015431.6,148344
0,09:17:00.000000000,NSEFO,AUBANK25APRFUT,530.1,1000,28676700,54000
0,09:17:00.000000000,NSEFO,AUBANK25MARFUT,532.5,1000,145885820,274000
0,09:17:00.000000000,NSECM,AXISBANK,1052.6,28,81715943.22,77631
0,09:17:00.000000000,NSEFO,AXISBANK25APRFUT,1060.3,625,10600100,10000
0,09:17:00.000000000,NSEFO,AXISBANK25MARFUT,1053.3,625,131635000,125000
0,09:17:00.000000000,NSECM,BANKBARODA,215.9,1,36424576.81,169157
0,09:17:00.000000000,NSEFO,BANKBARODA25APRFUT,217.15,2925,15845456.25,73125
0,09:17:00.000000000,NSEFO,BANKBARODA25MARFUT,215.8,2925,45950580,213525
0,09:17:00.000000000,NSECM,BANKNIFTY,50077.6,0,0,0
0,09:17:00.000000000,NSEFO,BANKNIFTY25APRFUT,50460,120,369118027.2,7320
0,09:17:00.000000000,NSEFO,BANKNIFTY25MARFUT,50139.55,30,1365588882,27270
0,09:17:00.000000000,NSECM,CANBK,86.09,1,41776777.8,486342
0,09:17:00.000000000,NSEFO,CANBK25APRFUT,86.6,6750,13422915,155250
0,09:17:00.000000000,NSEFO,CANBK25MARFUT,86.02,6750,54440100,634500
0,09:17:00.000000000,NSECM,FEDERALBNK,187.2,1,17297698.32,92759
0,09:17:00.000000000,NSEFO,FEDERALBNK25APRFUT,188.24,5000,2818050,15000
0,09:17:00.000000000,NSEFO,FEDERALBNK25MARFUT,187,5000,48477000,260000
