timestamp,bn_index,bn_constructed_index
0,48478.6,48478.6
1,48454.05,48458.904999217506
2,48486.45,48494.10954492914
3,48475.75,48465.98323221394
4,48449.3,48445.57622901376
5,48441.45,48442.85805180369
6,48366.15,48368.44462529635
7,48342.75,48348.85345839549
8,48348.75,48348.506532111605
9,48263.5,48263.00349352408
10,48254.1,48245.71520631623
11,48222.45,48221.51637446537
12,48186.05,48191.319317978414
13,48189.55,48182.98283097488
14,48219.6,48222.25829804025
15,48160.55,48160.24340788733
16,48188.15,48185.76743964158
17,48209.85,48213.75500823092
18,48221.6,48214.823340083545
19,48199.1,48193.84978384145
20,48179.8,48187.41880143114
21,48205.05,48210.960459024536
22,48151.75,48146.38785040925
23,48135.1,48131.058370713225
24,48165.7,48167.75048995507
25,48175.55,48171.31302538723
26,48190.55,48186.03548248226
27,48188.55,48187.06066397477
28,48162.15,48165.90504732014
29,48141.5,48140.40868113675
30,48084.3,48090.94725743882
31,48025.2,48026.571952904495
32,48066.05,48070.01961875758
33,48039.0,48040.31457650686
34,48012.85,48017.62202655165
35,48002.3,47999.4105746979
36,47971.55,47976.93176287564
37,48009.45,48010.185739525776
38,47967.2,47968.95608701957
39,47985.95,47982.33482228376
40,47978.8,47980.52953856142
41,47953.45,47960.85505207557
42,47967.3,47970.910775322045
43,47974.95,47978.94038086527
44,47975.0,47977.9120987395
45,47972.4,47967.47838929873
46,47900.2,47905.49770897377
47,47892.85,47893.58854699483
48,47890.1,47886.17860898367
49,47895.95,47895.47782909813
50,47903.5,47903.58206880185
51,47886.05,47890.941250484306
52,47881.2,47879.94876988436
53,47898.55,47894.530016845994
54,47874.0,47875.01028270288
55,47875.0,47869.502584400914
56,47879.35,47878.075714362174
57,47889.55,47892.29880924058
58,47907.2,47908.8345820861
59,47897.1,47895.641415070364
60,47885.75,47884.63793380945
61,47890.45,47894.124638704416
62,47913.9,47909.730870385705
63,47926.25,47925.49475388568
64,47949.5,47953.307884891685
65,47990.75,47988.879453391484
66,47971.5,47973.13833308417
67,47969.8,47982.121287449976
68,47931.05,47935.32574986643
69,47936.3,47935.346834822536
70,47947.8,47950.53186491452
71,47936.95,47937.99063509571
72,47968.7,47973.11304433998
73,47993.05,47982.8230874013
74,48037.35,48035.58169700555
75,48043.2,48045.30516634353
76,48004.7,48003.27775570147
77,48005.8,48010.808528302485
78,48025.9,48021.45613267856
79,47979.0,47976.591637840385
