timestamp,bn_index,bn_constructed_index
1,48478.6,48478.6
2,48454.05,48442.48574952806
3,48486.45,48472.996261800174
4,48475.75,48454.85194188408
5,48449.3,48420.593162096724
6,48441.45,48432.53251191043
7,48366.15,48373.931867198175
8,48342.75,48363.59633759979
9,48348.75,48354.47812199365
10,48263.5,48285.63747050865
11,48254.1,48271.72344715652
12,48222.45,48245.6314676048
13,48186.05,48237.78153825504
14,48189.55,48226.98505081949
15,48219.6,48260.6147044338
16,48160.55,48213.18621675709
17,48188.15,48241.2950122703
18,48209.85,48286.72835723171
19,48221.6,48282.742085365164
20,48199.1,48260.81357653508
21,48179.8,48273.41676985135
22,48205.05,48304.84739169395
23,48151.75,48230.7630187091
24,48135.1,48222.15793727346
25,48165.7,48258.52925652617
26,48175.55,48269.359658578396
27,48190.55,48285.30936164328
28,48188.55,48282.11275851388
29,48162.15,48266.13837202978
30,48141.5,48238.376950489626
31,48084.3,48198.64226451909
32,48025.2,48125.33110465858
33,48066.05,48168.94911457644
34,48039.0,48139.86261484787
35,48012.85,48115.55065097556
36,48002.3,48097.872305851764
37,47971.55,48074.80595159864
38,48009.45,48102.53807412084
39,47967.2,48058.347930640186
40,47985.95,48068.63489611294
41,47978.8,48072.445775228196
42,47953.45,48052.47708974933
43,47967.3,48069.91582509622
44,47974.95,48083.13128761632
45,47975.0,48077.65999703189
46,47972.4,48068.823734303944
47,47900.2,48016.83463373764
48,47892.85,48011.14299848397
49,47890.1,48005.66689162262
50,47895.95,48015.75478431589
51,47903.5,48021.2011908029
52,47886.05,48002.620997825274
53,47881.2,47997.35480036646
54,47898.55,48015.4694199082
55,47874.0,47991.85762229358
56,47875.0,47975.37471723769
57,47879.35,47994.7580243922
58,47889.55,48000.116935181766
59,47907.2,48014.860562233865
60,47897.1,47995.73532725114
61,47885.75,47988.92370693468
62,47890.45,47998.22554309849
63,47913.9,48014.30508496208
64,47926.25,48039.20363122796
65,47949.5,48064.29181839769
66,47990.75,48090.77251163275
67,47971.5,48078.23373602033
68,47969.8,48078.763526481845
69,47931.05,48033.34964730635
70,47936.3,48037.268089939564
71,47947.8,48040.584297279216
72,47936.95,48021.07837574135
73,47968.7,48039.15546845875
74,47993.05,48025.00544753738
75,48037.35,48065.188849974584
76,48043.2,48060.91259810165
77,48004.7,48042.69302385863
78,48005.8,48051.464266848096
79,48025.9,48058.763133846594
80,47979.0,48021.948516438766
81,47975.3,48030.6280494885
82,47952.0,48009.76654667505
83,47983.3,48029.21266610778
84,47987.9,48033.05986797817
85,48005.9,48053.29746225189
86,48018.0,48055.20350384413
87,48016.35,48059.62946165809
88,48006.55,48066.24040376942
89,47957.3,48012.78755637495
90,47933.9,47989.71618516672
91,47952.7,48004.051231393176
92,47967.3,48006.638976848226
93,47991.55,48033.37754157687
94,47987.7,48030.31519216671
95,48014.55,48050.88872175581
96,48021.35,48067.59718911426
97,48019.9,48072.13833621796
98,48022.3,48074.4672067884
99,48022.7,48077.407744528035
100,48011.05,48071.520849380795
101,48004.3,48059.64551591451
102,47985.4,48035.68273211909
103,47959.3,48003.28664743167
104,47984.6,48023.599496032315
105,47968.7,48007.92612685587
106,47967.0,48006.1637708585
107,47934.4,47987.46778655652
108,47952.8,47987.9722915642
109,47933.7,47983.82567781178
110,47911.0,47961.02642624966
111,47899.3,47944.43716174505
112,47911.1,47962.293508436815
113,47914.7,47960.9415393689
114,47934.55,47977.50732452351
115,47919.35,47963.32961000985
116,47908.1,47958.71039908435
117,47912.95,47965.19712138671
118,47892.7,47941.89175939129
119,47876.9,47932.637082605695
120,47895.95,47942.85461341948
121,47932.4,47990.25440411284
122,47907.9,47966.10920382898
123,47901.95,47960.18478185737
124,47914.0,47965.733132872585
125,47904.65,47962.118918398344
126,47896.2,47949.283540398756
127,47880.65,47929.03651424939
128,47853.45,47896.58002542221
129,47859.5,47902.54959998997
130,47873.0,47913.77734488834
131,47891.55,47922.2935258791
132,47896.0,47932.002939477505
133,47893.45,47918.47883387794
134,47912.4,47953.29770653581
135,47901.75,47941.8644671554
136,47893.15,47923.63606307136
137,47885.9,47939.29056849649
138,47905.25,47953.62481201015
139,47927.0,47962.82048940345
140,47939.15,47976.23121181714
141,47938.85,47985.783494380936
142,47923.4,47967.61208290715
143,47905.25,47947.56673835393
144,47917.5,47956.28580501007
145,47899.0,47943.66956761047
146,47910.0,47942.73641395666
147,47911.7,47939.260868122146
148,47913.55,47949.0660052244
149,47919.5,47953.6151794563
150,47901.7,47942.80966150152
151,47904.7,47946.23624185398
